,file_name,rw,delta4_Al2O3_a,delta4_Al2O3_delta2,delta4_Al2O3_psize,delta4_Al2O3_scale,NiO_Ni0_Biso,NiO_O1_Biso,NiO_a,NiO_delta2,NiO_psize,NiO_scale,Ni_Ni0_Biso,Ni_a,Ni_delta2,Ni_psize,Ni_scale,mtime,dt,t / s,T_avg / °C,time,H,He,N2,CH4,H2O,CO,O2,CO2
0,azint_UC1_Al2O3_2_0019_scan0002_pilatus_rm_NiO,0.83380492,12.3397157,2.98972807,10.0418184,0.359701415,,,,,,,0.36376911,3.54320465,2.95700416,10.0342991,0.190359952,,2022-01-23 09:29:15,36124.0,425.05,2022-01-23 09:29:15.660000000,1.49953e-08,6.65155e-06,9.63467e-10,4.05854e-11,1.20223e-07,7.75022e-08,1.92044e-09,6.83875e-07
1,azint_UC1_Al2O3_2_0012_scan0019_pilatus_rm_NiO,0.25967002,12.3743079,2.63871804,66.8235696,0.319496352,,,,,,,1.21384711,3.5524921,3.00782325,49.8275497,0.189564678,,2022-01-22 23:27:42,31.0,37.61,,,,,,,,,
2,azint_UC1_Al2O3_2_0025_scan0023_pilatus_rm_NiO,0.25010042,12.3706401,2.13796233,65.9379926,0.299982622,,,,,,,1.12307445,3.55073412,3.04681809,50.9186805,0.171314187,,2022-01-23 05:10:35,20604.0,425.07,2022-01-23 05:10:27.584000000,6.32693e-09,6.64679e-06,1.59906e-09,2.99481e-11,1.35619e-08,7.84871e-08,6.6326e-10,7.00184e-07
3,azint_UC1_Al2O3_2_0020_scan0003_pilatus_rm_NiO,0.24751172,12.346089,2.59133354,65.4020028,0.327352078,,,,,,,1.09732927,3.54898776,3.0085497,50.1668794,0.187320037,,2022-01-23 03:10:03,13372.0,424.98,2022-01-23 03:10:32.281999872,1.5833e-08,6.97305e-06,1.93156e-09,4.70424e-11,3.44051e-07,8.17388e-08,4.45617e-09,7.34257e-07
4,azint_UC1_Al2O3_2_0004_scan0004_pilatus_rm_NiO,0.27900613,12.3646381,2.70571619,62.9701198,0.310985783,,,,,,,1.24987696,3.55041628,3.13898838,40.9075174,0.199078418,,2022-01-23 05:24:29,21438.0,425.0,2022-01-23 05:24:48.064000000,5.78116e-06,1.29721e-07,1.63825e-06,2.98839e-07,5.51681e-07,1.55618e-06,2.93664e-07,3.56976e-07
5,azint_UC1_Al2O3_2_0002_scan0185_pilatus_rm_NiO,0.80410927,12.3212167,2.95179013,10.0196534,0.30542331,,,,,,,0.292896145,3.54103498,2.97696961,10.0142317,0.163630174,,2022-01-23 03:51:26,15855.0,425.07,2022-01-23 03:51:28.095000064,6.79643e-08,8.36486e-06,4.18264e-09,7.4327e-11,4.77875e-07,1.2214e-07,5.8548e-09,8.34079e-07
6,azint_UC1_Al2O3_2_0016_scan0001_pilatus_rm_NiO,0.24903165,12.3664379,2.6115136,67.4073646,0.32111025,,,,,,,1.11349334,3.54916798,2.93366745,49.9135173,0.192871953,,2022-01-23 08:17:19,31808.0,424.92,2022-01-23 08:17:39.848000000,4.46473e-09,5.76199e-06,1.30806e-09,2.8531e-11,1.02704e-08,7.00151e-08,6.34773e-10,6.11597e-07
7,azint_UC1_Al2O3_2_0005_scan0052_pilatus_rm_NiO,0.26949593,12.3373074,2.75142218,65.004666,0.314979717,,,,,,,1.2130291,3.55143075,2.97152569,44.7166409,0.198446332,,2022-01-23 04:07:32,16821.0,425.01,2022-01-23 04:07:55.348999936,8.1323e-09,6.80512e-06,1.88601e-09,3.1846e-11,1.69742e-08,8.12965e-08,6.83699e-10,7.00184e-07
8,azint_UC1_Al2O3_2_0012_scan0014_pilatus_rm_NiO,0.2588607,12.360931,2.65232204,64.8787036,0.322966096,,,,,,,1.21325806,3.55231496,2.93359138,49.414745,0.191525611,,2022-01-23 03:44:13,15422.0,424.99,2022-01-23 03:44:38.158000128,5.62541e-06,2.39309e-08,1.73343e-06,2.97743e-07,3.89102e-07,1.61185e-06,3.21694e-07,3.42003e-07
9,azint_UC1_Al2O3_2_0002_scan0120_pilatus_rm_NiO,0.30804789,12.349987,2.87083817,58.818129,0.29191082,,,,,,,1.28595527,3.5462462,3.22934573,33.8656684,0.194097386,,2022-01-23 09:12:07,35096.0,425.01,2022-01-23 09:12:05.980000000,6.83184e-08,4.59101e-06,2.68406e-09,8.81362e-11,2.09689e-06,6.69119e-08,2.72962e-08,5.18302e-07
10,azint_UC1_Al2O3_2_0002_scan0188_pilatus_rm_NiO,0.66662527,12.3728247,2.93153517,21.0232813,0.276278477,,,,,,,0.432840621,3.54441179,2.96184019,11.4810196,0.185073647,,2022-01-23 09:17:50,35439.0,425.01,2022-01-23 09:17:24.188000000,2.89516e-08,7.36657e-06,2.17896e-09,5.16235e-11,4.26141e-07,8.95903e-08,6.19947e-09,7.54893e-07
11,azint_UC1_Al2O3_2_0005_scan0031_pilatus_rm_NiO,0.26746407,12.339566,2.64850959,63.9772393,0.31788052,,,,,,,1.21556594,3.55150661,3.06292848,44.5989229,0.197009757,,2022-01-23 07:50:14,30183.0,425.05,2022-01-23 07:50:07.288000000,1.11165e-07,5.93806e-06,3.43506e-09,1.25273e-10,1.21239e-06,1.08011e-07,1.57424e-08,7.38979e-07
12,azint_UC1_Al2O3_2_0024_scan0016_pilatus_rm_NiO,0.24596164,12.3691693,2.50593408,67.1149994,0.325071991,,,,,,,1.10681573,3.54913305,2.90188028,50.0627326,0.188382936,,2022-01-23 05:01:15,20044.0,425.01,2022-01-23 05:01:12.580000000,1.86585e-08,7.66414e-06,2.21165e-09,3.87407e-11,2.98611e-08,9.1426e-08,1.01781e-09,7.46736e-07
13,azint_UC1_Al2O3_2_0002_scan0064_pilatus_rm_Ni_NiO,0.45855537,12.1590355,2.1359016,51.6720703,0.311354662,,,,,,,,,,,,,2022-01-23 04:34:24,18433.0,424.88,2022-01-23 04:34:38.268000000,5.73841e-06,4.28768e-08,1.73558e-06,2.99497e-07,3.84756e-07,1.62785e-06,3.15515e-07,6.2419e-07
14,azint_UC1_Al2O3_2_0009_scan0003_pilatus_rm_NiO,0.84008774,12.3327373,2.96796552,10.0266155,0.33684855,,,,,,,0.287684686,3.53794819,2.97864781,10.0167082,0.153738949,,2022-01-23 03:26:03,14332.0,425.02,2022-01-23 03:26:00.001999872,5.66661e-06,1.09281e-07,1.65617e-06,2.93202e-07,4.70636e-07,1.55362e-06,2.99843e-07,3.45304e-07
15,azint_UC1_Al2O3_2_0003_scan0043_pilatus_rm_NiO,0.8137627,12.3295319,2.97576308,10.0316112,0.331065904,,,,,,,0.363535136,3.54469074,2.9605286,10.0266385,0.192940154,,2022-01-23 03:32:47,14736.0,424.96,2022-01-23 03:32:34.537999872,5.6697e-06,5.19668e-08,1.68742e-06,2.97586e-07,4.47625e-07,1.58753e-06,3.12242e-07,3.44767e-07
16,azint_UC1_Al2O3_2_0005_scan0039_pilatus_rm_,0.27033009,12.1565887,2.3849755,60.4368396,0.315997855,0.02,0.02,4.31799885,3.0,0.0909816763,0.115945552,1.22308374,3.55209054,3.07742686,44.277323,0.1974929,,2022-01-23 04:57:36,19825.0,425.07,2022-01-23 04:57:43.633999872,3.38673e-08,7.7025e-06,2.87472e-09,5.44703e-11,3.71804e-07,9.9821e-08,4.79395e-09,7.90886e-07
17,azint_UC1_Al2O3_2_0007_scan0038_pilatus_rm_NiO,0.2689342,12.3686667,2.73320414,65.2930043,0.316406547,,,,,,,1.21671385,3.55204338,3.01703885,46.4209095,0.195861048,,2022-01-23 08:38:05,33054.0,424.98,2022-01-23 08:37:38.348000000,7.40575e-08,7.612e-06,4.94499e-09,9.33722e-11,5.36816e-07,1.14012e-07,8.11555e-09,8.24007e-07
18,azint_UC1_Al2O3_2_0014_scan0005_pilatus_rm_NiO,0.252256,12.3683562,2.59033114,67.5316222,0.321212057,,,,,,,1.11570965,3.54971524,2.87672774,50.0276219,0.19614501,,2022-01-23 08:07:58,31247.0,425.04,2022-01-23 08:07:22.428000000,1.87074e-08,7.13146e-06,2.4716e-09,4.61279e-11,2.88354e-07,8.42276e-08,1.28349e-09,7.51536e-07
19,azint_UC1_Al2O3_2_0011_scan0025_pilatus_rm_NiO,0.26220868,12.3388462,2.75070596,67.125329,0.31814404,,,,,,,1.19218188,3.55249678,2.93337466,49.6363438,0.192987664,,2022-01-23 00:46:31,4760.0,245.92,2022-01-23 00:46:57.444999936,1.46865e-05,2.65817e-08,1.36614e-06,3.56147e-09,1.47778e-07,1.72575e-06,3.89249e-07,2.13737e-09
20,azint_UC1_Al2O3_2_0011_scan0046_pilatus_rm_NiO,0.83791499,12.3400569,2.92674893,10.0288066,0.339622652,,,,,,,0.315143403,3.54381073,2.97154205,10.0224334,0.170347315,,2022-01-23 06:31:16,25445.0,425.01,2022-01-23 06:31:24.364000000,5.70482e-06,5.84031e-08,1.71281e-06,2.96897e-07,4.39866e-07,1.62017e-06,3.21242e-07,3.47685e-07
21,azint_UC1_Al2O3_2_0002_scan0201_pilatus_rm_NiO,0.29508319,12.3485019,2.82440359,58.857194,0.294181449,,,,,,,1.27197974,3.54715525,3.22608691,35.2206873,0.198496275,,2022-01-23 01:03:39,5788.0,417.15,2022-01-23 01:03:43.166000128,1.44895e-05,2.61131e-08,1.35121e-06,2.09881e-09,1.47778e-07,1.71679e-06,3.86123e-07,1.9647e-09
22,azint_UC1_Al2O3_2_0022_scan0007_pilatus_rm_NiO,0.83299019,12.3382413,2.99028605,10.0433153,0.359194127,,,,,,,0.37371885,3.54526326,2.95367413,10.037204,0.19711899,,2022-01-23 06:27:38,25227.0,424.98,2022-01-23 06:27:42.320000000,5.70023e-06,8.85871e-08,1.70104e-06,2.95926e-07,4.51099e-07,1.60993e-06,3.14929e-07,3.49681e-07
23,azint_UC1_Al2O3_2_0003_scan0020_pilatus_rm_NiO,0.81661664,12.3218149,2.94583833,10.0230757,0.320743526,,,,,,,0.303743081,3.54424279,2.97558977,10.016621,0.174292209,,2022-01-23 00:09:08,2517.0,29.95,2022-01-23 00:09:09.447000064,1.3894e-05,2.63798e-08,1.32135e-06,5.36962e-10,1.36161e-07,1.69248e-06,3.83124e-07,3.71716e-09
24,azint_UC1_Al2O3_2_0015_scan0053_pilatus_rm_NiO,0.25113253,12.3725738,2.5808386,69.0107744,0.32067702,,,,,,,1.11261352,3.54860259,3.0351833,50.0849876,0.190607167,,2022-01-23 02:12:44,9933.0,450.02,2022-01-23 02:12:37.910000128,1.46759e-05,2.61444e-08,1.34972e-06,1.97353e-09,1.41972e-07,1.72383e-06,3.86999e-07,1.76669e-09
25,azint_UC1_Al2O3_2_0011_scan0028_pilatus_rm_NiO,0.25703476,12.3377328,2.7059092,67.2769262,0.320688523,,,,,,,1.19960176,3.55252598,2.94595023,49.8717293,0.192354786,,2022-01-23 01:45:44,8313.0,447.96,2022-01-23 01:45:37.544999936,1.45781e-05,2.61389e-08,1.3542e-06,1.96326e-09,1.42492e-07,1.7168e-06,3.87374e-07,1.93424e-09
26,azint_UC1_Al2O3_2_0007_scan0035_pilatus_rm_NiO,0.26342842,12.3530503,2.67809137,63.2161771,0.321144902,,,,,,,1.20482368,3.55210195,3.00000932,46.3016027,0.195332171,,2022-01-23 08:48:56,33705.0,425.02,2022-01-23 08:49:17.104000000,5.42384e-08,7.89929e-06,6.09179e-08,1.53983e-10,3.82549e-07,3.74099e-07,1.17351e-07,6.67074e-07
27,azint_UC1_Al2O3_2_0024_scan0052_pilatus_rm_,0.2479101,12.1668429,2.13582303,62.0046785,0.329542683,0.02,0.02,4.41032217,3.0,0.0987944334,0.138814684,1.10253882,3.54995623,3.023634,50.6602391,0.183522732,,2022-01-23 01:48:20,8469.0,450.89,2022-01-23 01:48:25.155000064,1.46575e-05,2.69288e-08,1.34972e-06,1.98039e-09,1.42066e-07,1.71871e-06,3.86123e-07,1.82554e-09
28,azint_UC1_Al2O3_2_0002_scan0076_pilatus_rm_NiO,0.31224049,12.3634509,2.74633366,56.12891,0.305296161,,,,,,,1.25193216,3.54158569,3.31033776,30.2284727,0.145133331,,2022-01-23 06:40:37,26006.0,425.12,2022-01-23 06:40:29.572000000,5.743e-06,2.77856e-08,1.71869e-06,2.94423e-07,4.26364e-07,1.61761e-06,3.20773e-07,3.42233e-07
29,azint_UC1_Al2O3_2_0010_scan0010_pilatus_rm_NiO,0.26752899,12.3408406,2.755107,67.0656439,0.317902628,,,,,,,1.20550189,3.55180403,2.88198747,48.5053494,0.191925793,,2022-01-23 00:35:05,4074.0,131.65,2022-01-23 00:34:41.540999936,1.48744e-05,2.70529e-08,1.3542e-06,5.70516e-10,1.48458e-07,1.71871e-06,3.87623e-07,4.36112e-09
